File Path,Repository,File Size (LOC),Status,What It Does,Our Equivalent,Equivalent Status,Unique Features in Third-Party,Capabilities Comparison,Recommendation,Verification Needed
lib/jacques-ofxparser/lib/OfxParser/Ofx.php,jacques-ofxparser,13,STUB,Only namespace/imports/class declaration,src/Ksfraser/Ofx.php,MUCH OLDER,None,Our version has 1000+ LOC with full parsing logic defensive recovery metrics,Mark with deprecation notice (similar to ofx4),Full capability assessment
lib/jacques-ofxparser/lib/OfxParser/Parser.php,jacques-ofxparser,0,EMPTY,No implementation,src/Ksfraser/Parser.php,MISSING,N/A,Completely missing implementation,Document as incomplete baseline,None needed
lib/jacques-ofxparser/lib/OfxParser/Entities/AbstractEntity.php,jacques-ofxparser,20,FUNCTIONAL,Implements __get() magic method for property aliases,src/Ksfraser/Entities/AbstractEntity.php,EQUIVALENT,None,Identical logic; our version has type hints on parameter,VERIFY: Type hint scope changes,Type hint compatibility check
lib/jacques-ofxparser/lib/OfxParser/Entities/Statement.php,jacques-ofxparser,21,FUNCTIONAL,Simple container for statement data (currency transactions[] startDate endDate),src/Ksfraser/Entities/Statement.php,EQUIVALENT,None,Same fields; our version has comprehensive type hints,VERIFY: Field structure compatibility,Field alignment confirmation
lib/jacques-ofxparser/lib/OfxParser/Entities/AccountInfo.php,jacques-ofxparser,17,FUNCTIONAL,Simple container for account info (desc number),src/Ksfraser/Entities/AccountInfo.php,EQUIVALENT,None,Identical minimal structure,VERIFY: Structure match,Structure compatibility check
lib/jacques-ofxparser/lib/OfxParser/Entities/Institute.php,jacques-ofxparser,17,FUNCTIONAL,Simple container for institute data (id name),src/Ksfraser/Entities/Institute.php,EQUIVALENT,None,Identical structure,VERIFY: Structure compatibility,Confirmed match
lib/jacques-ofxparser/lib/OfxParser/Entities/SignOn.php,jacques-ofxparser,22,FUNCTIONAL,Container for sign-on data (status date language institute),src/Ksfraser/Entities/SignOn.php,EQUIVALENT,None,Same fields; ours is marked final,VERIFY: Final keyword implications,Inheritance impact analysis
lib/jacques-ofxparser/lib/OfxParser/Entities/OfxLoadable.php,jacques-ofxparser,12,INTERFACE,Interface defining loadOfx(SimpleXMLElement) contract,src/Ksfraser/Entities/OfxLoadable.php,EQUIVALENT,None,Identical interface definition,VERIFY: Contract compatibility,Interface adoption check
lib/jacques-ofxparser/lib/OfxParser/Entities/Inspectable.php,jacques-ofxparser,11,INTERFACE,Interface for getProperties() method,src/Ksfraser/Entities/Inspectable.php,EQUIVALENT,None,Identical interface,VERIFY: Interface compatibility,Adoption check
lib/jacques-ofxparser/lib/OfxParser/Parsers/Investment.php,jacques-ofxparser,19,FUNCTIONAL,Extends Parser class; overrides createOfx() for investment type,src/Ksfraser/Parsers/Investment.php,UNKNOWN,Creates InvestmentOfx class support,Creates specialized Ofx subclass for investment accounts,INVESTIGATE: Do we support investment accounts?,Investment account support analysis
lib/memhetcoban-ofxparser/lib/OfxParser/Ofx.php,memhetcoban-ofxparser,0,EMPTY,No implementation,src/Ksfraser/Ofx.php,MISSING,None,Completely missing,Document as incomplete baseline,None needed
lib/memhetcoban-ofxparser/lib/OfxParser/Parser.php,memhetcoban-ofxparser,4,STUB,Only namespace and Exception import,src/Ksfraser/Parser.php,MISSING,None,No implementation vs 500+ LOC in ours,Mark as incomplete baseline,None needed
lib/memhetcoban-ofxparser/lib/OfxParser/Entities/AbstractEntity.php,memhetcoban-ofxparser,21,FUNCTIONAL,Implements __get() magic method (NO type hints),src/Ksfraser/Entities/AbstractEntity.php,EQUIVALENT (OLDER),None,Same logic but no type hints on parameter,VERIFY: Type hint differences,Type hint compatibility
lib/memhetcoban-ofxparser/lib/OfxParser/Entities/Statement.php,memhetcoban-ofxparser,21,FUNCTIONAL,Simple container (currency transactions[] startDate endDate),src/Ksfraser/Entities/Statement.php,EQUIVALENT,None,Same structure,VERIFY: Field compatibility,Field alignment
lib/memhetcoban-ofxparser/lib/OfxParser/Entities/AccountInfo.php,memhetcoban-ofxparser,17,FUNCTIONAL,Simple container (desc number),src/Ksfraser/Entities/AccountInfo.php,EQUIVALENT,None,Identical,VERIFY: Match,Confirmed
lib/memhetcoban-ofxparser/lib/OfxParser/Entities/Institute.php,memhetcoban-ofxparser,17,FUNCTIONAL,Simple container (id name),src/Ksfraser/Entities/Institute.php,EQUIVALENT,None,Identical,VERIFY: Match,Confirmed
lib/memhetcoban-ofxparser/lib/OfxParser/Entities/SignOn.php,memhetcoban-ofxparser,22,FUNCTIONAL,Container (status date language institute),src/Ksfraser/Entities/SignOn.php,EQUIVALENT,None,Same fields; ours is final,VERIFY: Final keyword impact,Inheritance analysis
lib/ofx4/lib/OfxParser/Ofx.php,ofx4,48,DEPRECATED STUB,Already marked with OUR deprecation notice,src/Ksfraser/Ofx.php,CONFIRMED SUPERIOR,None,✅ Already has verification comment,✅ ALREADY MARKED (lines 25-36),✅ VERIFICATION COMPLETE
lib/ofx4/lib/OfxParser/Parser.php,ofx4,0,EMPTY,No implementation,src/Ksfraser/Parser.php,MISSING,None,Completely missing,Document as incomplete,None needed
lib/ofx4/lib/OfxParser/Entities/AbstractEntity.php,ofx4,21,FUNCTIONAL,Implements __get() with type-hinted parameter,src/Ksfraser/Entities/AbstractEntity.php,EQUIVALENT (OLDER),None,Partial type hints vs complete in ours,VERIFY: Type hint scope,Type hint alignment
lib/ofx4/lib/OfxParser/Entities/Statement.php,ofx4,21,FUNCTIONAL,Simple container (currency transactions[] startDate endDate),src/Ksfraser/Entities/Statement.php,EQUIVALENT,None,Same structure,VERIFY: Field match,Field compatibility
lib/ofx4/lib/OfxParser/Entities/AccountInfo.php,ofx4,17,FUNCTIONAL,Simple container (desc number),src/Ksfraser/Entities/AccountInfo.php,EQUIVALENT,None,Identical,VERIFY: Match,Confirmed
lib/ofx4/lib/OfxParser/Entities/Institute.php,ofx4,17,FUNCTIONAL,Simple container (id name),src/Ksfraser/Entities/Institute.php,EQUIVALENT,None,Identical,VERIFY: Match,Confirmed
lib/ofx4/lib/OfxParser/Entities/SignOn.php,ofx4,21,FUNCTIONAL,Container (status date language institute),src/Ksfraser/Entities/SignOn.php,EQUIVALENT,None,No final keyword (more flexible than ours),VERIFY: Final keyword intent,Inheritance implications
